Gene,Anastrozole,Abiraterone,Bexarotene,Metformin,Dexamethasone,Cigarette smoke,Harman,Plx4032,Atorvastatin,Vemurafenib,Trastuzumab,Gatifloxacin,"2,3,7,8-tetrachlorodibenzo-p-dioxin",Formoterol,Ubiquinol,Temozolomide,Hodgkin lymphoma,Pimecrolimus,Chlorpyrifos,Letrozole,Tibolone,Diclofenac,Cadmium,Colchicine,Propofol,Sevoflurane,Nsc319726,Nvp-tnks656,Gefitinib,Estradiol,"Dmnq   (2,3-dimethoxy-1,4-naphthoquinone)",Mercury,Chromium,Metoprolol,Imatinib,Doxorubicin,Apratoxin a,Hydroxyzine,Ribavirin,Sorafenib,Argyrin a,Lysophosphatidic acid,Adenosine triphosphate,Torcetrapib,Nickel,Deferasirox,Alfacalcidol,Plx4720,Fluorouracil,Epz004777,Chlorambucil,Thapsigargin,Bpde,"2,2',4,4',5,5'-hexachlorobiphenyl   (pcb-153)",Phenol,Nilotinib,Quercetin,Imatinib (glivec),Luteolin,Nitric oxide,Phorbol 12-myristate 13-acetate (pma),Bortezomib,"3,3',4,4'-tetrachlorobiphenyl",Foretinib,Neocarzinostatin,R1881,Mk-886,Fenretinide,Telapristone acetate,Testosterone,Curcumin,Cediranib,Vx,"Puromycin, 2xec50, 3 d",Mek inhibitor (meki : azd6244),"Puromycin, ec50, 3 d",Triiodothyronine-[13c6] hydrochloride (t3 thyronine),Sapphyrin pci-2050 (2.5 &icirc;&frac14;m),"1,25 dihydroxyvitamin d",Paclitaxel,Isotretinoin,Folic acid,"2,3-dimethoxy-1,4-naphtoquinone (dmnq)",Mesalazine,Levofloxacin,Heregulin,Lmp-420,Mycophenolic acid,Lipopolysaccharide,Ethanol,Azathioprine,Fluticasone,Aplidin,Celecoxib,Resveratrol,4-hydroxytamoxifen,Cholestyramine,Actinomycin d,Grepafloxacin,Cocaine,Citalopram,"1,2,4-benzenetriol",Bisphenol a,Aminolevulinic acid,Calcitriol,Sirolimus,Sb 216763,Cyfluthrin,Dasatinib,Androstanolone,Carboplatin,Sapphyrin pci-2050 (1.25 &icirc;&frac14;m),Carboplatin (30 h),Carboplatin (24 h),Carboplatin (36 h),Methylphenidate,Laminin,Vanadium pentoxide,Cytarabine,"Puromycin, 2xec50, 1d","Puromycin, ec50, 5 d","Puromycin, ec50, 1 d",Hydrocortisone,Hypochlorous acid,Decitabine,Y15,Azacitidine,Methotrexate,Zinc acetate,Arsenic,"2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)",Cisplatin,Insulin,Motexafin gadolinium (4 h),Arachidonic acid,Promegestone,Doxycycline,Fgfr-specific pd173074 inhibitor,Antimony,Mln4924,Sangivamycin (nsc 65346),Gamma-tocotrienol,Pioglitazone,Tretinoin,Cycloheximide,Ciprofloxacin,Motexafin gadolinium,Nicotine,Sulforaphane
HBD,4940.71,183.86,7265.52,52242.22,518.64,22234.07,2427.41,5221.57,489.21,4714.72,1032.23,1728.81,8266.54,2123.27,16913.43,18536.17,717.56,444.04,397.05,24627.56,860.45,13806.52,480788.94,3444.45,26306.6,40431.1,11095.44,346.67,577265.43,305.57,127103.74,525352.28,302280.29,2465.3,5892.97,17140.74,945.03,154718.14,32644.46,5357.0,2257.62,84249.43,3568.14,795.82,246489.69,2268.07,4707.17,5292.87,59730.2,157.34,96170.69,176.87,27483.29,4918.71,222843.6,5043.93,8248.25,4495.54,5278.04,187874.53,475.28,10008.85,69318.53,1204.28,567.62,279.17,357.38,186.67,589.92,316.59,164312.41,3563.21,9555.76,30798.27,6975.22,30977.15,715.64,22931.95,23727.01,3384.07,1152.62,4890.01,124531.69,64599.23,9443.19,77230.7,862.19,155485.83,8064.09,169337.05,9869.69,125.77,1098.76,4696.84,4853.56,302.91,12136.84,1297.11,5701.85,22625.71,2079.84,78901.89,101767.4,126282.17,41.24,577.21,17898.45,474.53,3814.26,716.7,88348.94,23532.22,15798.3,15764.72,15764.72,27787.47,6648.77,259428.41,40122.81,30798.16,60522.38,35366.01,1887.06,192702.6,26024.65,143.4,36767.72,4033.51,91108.48,268550.62,1563733.96,205465.2,47760.34,44635.83,30096.87,3777.61,2992.47,20402.86,343379.28,3333.48,9961.84,1673.14,9582.91,3348.67,9518.54,13347.44,44077.39,4323.38,82972.07
NFKBIA,14355.28,621.94,9719.88,114818.11,571.91,57272.68,11203.93,6835.37,951.21,6149.15,3754.7,4005.87,14368.09,12852.95,41472.41,55092.86,1284.78,454.51,1500.95,51168.62,1163.85,29681.78,880275.01,8707.15,75561.47,103102.26,19225.38,741.33,584436.97,357.8,158973.8,938375.53,699825.66,8786.23,8883.16,38408.87,1665.0,273357.83,62602.85,12521.73,6289.41,126144.86,10002.93,1008.21,617806.32,5512.03,5741.0,8219.21,181065.97,3725.94,119986.68,453.23,59710.47,32287.72,572814.0,5675.55,19355.61,6292.41,13249.08,494931.27,870.39,22852.44,185588.01,4370.72,2393.53,455.42,2545.3,9260.2,862.77,349.47,263715.99,6689.77,20405.35,54055.23,8873.07,54234.77,868.26,43951.3,25095.93,4079.01,2185.29,17060.04,156390.77,138358.59,10048.71,112701.9,2413.23,327279.52,9604.59,458997.4,29543.59,310.95,1094.71,9510.85,7268.88,844.25,26505.72,1495.93,10162.74,28689.0,11278.79,150363.17,156945.54,277026.94,161.46,801.6,26721.4,3004.46,5898.44,868.23,253538.42,44553.85,41067.46,41033.75,41033.75,70980.66,12040.3,532253.04,82415.35,54055.13,83897.46,58642.08,6502.95,482626.0,56532.45,430.18,81229.93,8019.68,203631.1,600639.82,1583778.13,284733.26,82371.75,56862.33,42419.32,16997.48,4545.57,22517.12,745186.2,4550.88,20899.29,3005.19,10546.17,3507.83,14899.62,18460.11,56301.51,14803.24,157686.89
MT2A,6973.32,443.1,8111.35,53776.35,576.76,27124.61,3017.75,5238.12,541.23,4607.63,3083.84,2285.66,11215.26,3591.44,27783.08,24739.73,859.4,489.64,501.68,32805.42,986.73,13706.45,560184.95,3813.9,47322.97,39224.28,13536.5,464.62,619585.94,343.35,137389.14,613846.7,355569.29,3184.86,7393.64,23908.91,1471.35,203544.97,37197.91,6888.25,3220.03,100729.05,4304.21,893.96,288469.76,2669.09,5427.68,5577.99,67045.88,181.75,107477.34,231.93,34560.84,13726.61,280075.51,4758.23,10844.99,5629.1,8485.97,198795.32,606.18,10427.72,110031.06,1484.16,768.97,323.43,1973.9,364.83,698.22,361.41,195019.99,4209.56,10526.66,35542.36,7192.07,35739.41,812.62,30282.04,26013.55,4027.0,1400.5,7775.29,134558.58,69345.24,10879.3,89459.17,1067.84,244936.25,8570.9,172866.09,14843.35,163.96,1224.1,5251.23,5510.64,412.47,15532.59,1448.35,6915.89,24549.84,4028.42,94679.76,141459.9,122639.65,52.91,677.12,21140.74,1366.22,4670.26,795.98,96996.66,30942.72,24449.99,24412.98,24412.98,31566.94,8195.14,263346.27,50625.19,35542.25,68005.73,40573.85,4872.55,199561.68,30702.63,172.0,46758.48,4795.31,134047.71,297934.47,1671476.06,237148.99,59737.46,51045.81,35188.08,7971.87,3406.63,21654.78,411516.4,3737.13,10302.17,1930.96,11853.16,3686.33,11254.51,15415.93,50431.22,4352.22,98466.82
PSAP,5566.92,693.08,7427.54,40878.82,519.6,40464.7,2220.03,5723.56,364.19,5315.19,4027.8,1625.54,11016.0,6799.6,34647.1,38562.01,1041.78,426.88,358.99,42689.28,923.4,11444.4,566530.48,2973.56,54114.3,36691.91,14186.62,254.73,567619.07,277.78,141785.36,643117.21,383552.65,3270.07,6693.73,30091.08,1475.15,233353.35,40762.2,6290.96,3653.21,104181.8,6001.09,856.06,310172.33,3666.36,4577.03,5389.8,71883.09,587.18,113798.86,136.4,46346.54,24546.59,292767.43,5128.56,8859.56,5833.86,8613.4,209897.23,380.44,7248.72,140631.85,2321.76,1408.5,324.97,2349.73,3327.03,623.23,289.8,238262.68,5696.36,7304.37,45563.72,6807.66,45738.51,681.39,37459.25,23115.12,4100.52,987.26,11477.48,139273.71,80695.67,10518.83,99622.74,983.13,280202.24,8995.96,174390.22,11723.43,182.22,865.71,5958.5,5172.26,270.2,19791.75,1308.07,1986.92,26516.25,8997.68,82725.06,168620.89,109879.07,80.77,684.21,14505.32,2122.72,5588.75,695.47,53101.03,38045.95,19023.95,18991.13,18991.13,42913.95,7860.07,253816.99,63473.37,45563.62,74603.85,50026.3,6588.26,204348.06,33674.94,213.43,58255.08,2119.7,136281.04,319042.99,1543736.72,238411.71,70324.82,54225.54,32494.49,13137.89,3251.01,21872.18,437763.0,3701.82,10941.9,2137.12,12559.3,3273.83,10161.09,14262.64,53679.26,4112.95,89224.56
IFITM1,3223.42,146.6,7294.69,31274.48,516.3,21273.78,1554.01,4472.11,219.48,4020.95,707.3,1242.7,5111.79,1946.58,13610.06,13626.11,688.74,446.55,257.5,17332.24,863.96,10200.88,391172.35,2694.75,15876.0,23146.3,9142.73,222.58,585724.75,288.15,114324.73,407264.79,220555.69,1833.79,4285.68,13569.82,713.95,121604.94,28402.44,3365.14,1843.81,79892.91,3108.74,793.35,170607.1,2180.63,4558.6,4284.19,41147.3,132.23,88658.2,125.64,21007.92,3101.46,141525.2,5044.3,4000.51,3348.5,3218.83,125814.5,354.61,6467.09,46062.0,965.12,426.41,264.95,249.43,94.08,521.08,292.85,139005.72,3047.49,6619.04,26694.13,6825.19,26877.91,705.52,19591.29,24100.66,3450.29,983.05,3354.1,111683.13,46492.88,7760.47,73495.57,707.07,106438.9,7302.35,115240.58,4458.79,118.91,674.49,4641.78,4308.3,209.41,11166.24,1311.05,1678.88,23175.17,1530.67,47895.67,78639.81,88243.49,32.64,564.84,11389.61,215.98,2785.16,707.89,32536.75,20207.74,9078.07,9043.58,9043.58,20434.47,4830.48,164447.43,32082.03,26694.02,57191.28,31386.74,1493.0,135426.34,19053.0,116.49,28394.45,1460.29,59002.96,197541.94,1590881.78,177379.09,39634.71,41304.15,33509.2,2775.05,3015.51,20644.91,249598.62,3368.62,6294.0,1501.15,7666.88,3400.92,7406.13,13277.41,40730.79,2675.01,56281.41
IL1B,4147.15,147.17,7263.82,34479.28,519.25,20011.27,1967.87,4826.68,292.16,4389.57,716.39,1494.58,9062.03,1826.84,15744.84,18239.85,717.3,441.92,289.28,24451.0,885.64,11233.81,437605.81,2517.0,14960.46,26711.97,10599.75,290.11,576014.99,290.06,126360.7,481933.19,257595.99,2083.89,5015.91,16515.67,805.38,148795.74,31200.11,4656.66,2342.88,83670.7,3499.42,786.38,205554.77,2226.57,4680.88,4551.09,41515.81,154.32,96632.9,158.04,25528.68,3115.5,184172.97,4795.75,5752.09,3882.47,4160.31,150705.9,419.24,7512.28,62986.13,1301.85,543.23,274.36,316.66,113.81,558.04,305.99,161702.27,2967.65,7695.41,31510.35,7080.93,31689.96,700.91,23505.28,23765.13,3734.04,1029.05,4099.45,123779.53,55649.42,9827.71,77916.28,802.28,137077.65,8066.91,136565.21,7480.48,126.5,1012.4,4561.36,4406.28,259.2,11139.85,1301.91,3481.18,23368.04,1977.46,50368.84,86288.24,92806.11,45.19,579.58,14061.11,344.66,3247.93,697.61,59050.56,24107.92,11648.53,11614.81,11614.81,24362.62,6169.42,213258.06,39540.78,31510.25,61354.29,36097.49,1624.53,161906.17,23287.27,170.92,36035.74,2738.38,79289.88,232066.81,1562382.72,201806.83,47025.87,45563.7,27714.0,3070.79,3024.08,20794.96,300096.21,3349.64,7984.85,1443.67,10305.76,3340.81,8922.94,14093.29,45002.87,2841.6,56989.85
CLU,7390.32,343.3,8858.89,37596.35,531.46,32920.02,3860.48,5995.31,316.11,5610.11,2535.49,1765.68,7847.81,9900.19,27978.6,32430.58,1036.01,421.88,796.09,31285.7,1025.57,9498.46,551645.95,3764.04,46916.17,33550.14,12090.41,261.14,562825.06,301.17,102195.68,572268.34,384055.04,3957.39,6648.85,22887.99,955.11,185337.06,29391.91,7126.11,3842.53,83027.03,7133.37,846.3,317364.67,3270.48,4665.15,5705.74,66949.61,2624.36,81603.24,170.7,38079.11,19826.86,292520.09,5483.37,8692.31,5703.96,8369.74,228345.47,385.05,7129.89,119827.11,3393.53,1275.87,431.69,2329.66,6824.94,648.08,305.24,178397.3,6018.4,6695.38,33588.08,7377.7,33760.2,685.99,26794.38,23249.77,2949.54,1061.06,11619.29,99717.77,64744.4,6509.73,88873.31,1532.75,235091.27,5830.83,205723.84,14935.05,159.64,805.25,6479.04,4912.89,298.11,15959.11,1281.53,2380.38,18620.77,7142.32,70192.97,142531.12,103062.33,101.72,667.89,15168.93,2078.7,5987.15,680.35,66770.29,27372.22,16647.46,16615.16,16615.16,32325.51,8502.06,257387.11,54283.72,33587.97,62354.06,37987.77,4166.87,223309.75,27840.33,270.51,50331.54,2649.66,114879.1,315985.36,1531750.03,181047.53,54011.61,37010.96,22638.78,13135.66,3213.37,15795.88,422238.14,3695.07,9751.43,2109.06,7196.74,3248.93,9136.01,10134.82,36472.7,5000.46,73047.64
ZFP36,6858.87,620.71,8191.4,51148.57,473.24,28199.77,3915.67,5601.68,362.5,5231.28,3715.52,1772.42,12198.44,11638.66,31891.78,32163.25,914.57,384.88,569.02,30183.14,845.31,14096.59,510071.25,3290.21,66394.4,36675.86,11614.16,304.13,524129.11,261.51,113030.13,553669.6,347574.06,3433.59,6873.68,20572.98,1093.32,171522.26,31250.53,6995.61,5611.31,90350.77,5658.65,753.05,288222.19,2376.67,4111.13,5601.65,91644.7,2477.1,96234.55,148.83,35541.63,33592.64,256421.98,5274.96,11699.95,5793.14,9556.68,211380.49,417.06,9194.3,100369.75,2626.34,784.17,315.57,2290.91,9032.79,579.78,273.31,205352.13,5562.19,9194.61,35321.23,6988.83,35478.08,637.44,25201.53,21233.05,3525.4,1131.09,12630.39,110772.81,71966.29,8571.67,84452.03,1187.55,227420.41,7796.87,173655.75,18367.04,129.41,752.33,5562.45,4234.61,277.66,14471.93,1146.09,3797.05,20190.34,9798.11,80610.25,140374.47,122854.58,71.57,555.19,16511.7,2266.76,5626.93,635.55,72410.07,25728.19,18788.11,18758.69,18758.69,31105.17,7063.43,241796.62,52252.6,35321.14,61682.61,39331.71,5654.18,202400.44,29893.76,193.05,49525.66,3662.81,99885.8,299127.23,1434103.36,195518.58,49739.22,40286.05,23204.68,15279.54,2878.79,17971.8,387645.45,3167.28,9201.57,2611.54,10337.6,2983.08,8550.71,11985.19,39795.84,5980.54,94094.11
YWHAB,4047.0,122.05,7661.57,38141.06,541.86,28947.62,1971.94,4541.4,135.75,4069.69,682.31,1179.86,4282.15,2051.58,16269.45,19521.13,785.76,466.83,254.32,24588.59,885.06,10899.27,564620.48,2823.45,5758.53,46821.58,10775.07,221.26,605500.53,297.88,123031.03,585325.58,376857.79,2279.07,4569.5,19747.89,629.42,170289.01,29894.97,3593.43,1484.83,79984.06,4006.84,858.0,318309.43,2486.85,4748.11,4275.28,57850.94,120.97,85148.22,130.1,31569.0,2507.11,286173.65,4251.67,5572.74,3629.99,4813.44,245357.8,359.77,6611.71,91455.92,892.34,568.89,280.21,282.77,71.93,544.46,301.68,154821.08,2840.71,6423.91,28625.14,6847.89,28817.98,741.36,24730.14,25118.34,3153.8,1057.98,4400.33,120259.72,60714.89,6871.47,80698.43,725.9,169316.95,7585.57,238206.97,5042.12,124.6,424.33,4920.76,4588.46,184.91,12583.67,1352.3,1309.38,22108.53,1545.65,67572.56,63626.72,146489.1,34.69,655.51,15266.57,151.96,2882.8,752.43,46387.6,25376.79,10637.93,10601.71,10601.71,29583.54,5443.35,371232.53,43527.73,28625.03,60446.64,33549.83,1697.67,255832.71,24397.02,78.27,35976.38,1579.12,100611.92,320146.29,1642862.71,178379.39,51358.4,44633.82,37604.6,2782.75,3074.21,20127.17,419070.86,3623.61,7166.48,1662.39,6399.45,3554.14,7262.38,12377.33,44032.03,3150.69,65686.42
HBG2,5856.06,177.1,7237.26,51504.3,514.87,19702.79,2947.19,4669.94,546.35,4111.5,1018.42,2015.21,6952.17,1840.5,13398.2,14276.28,671.37,441.74,369.23,17664.96,877.6,15142.2,464733.96,4051.0,25577.86,39643.21,9825.56,428.76,576204.28,298.84,114205.6,481735.7,294385.39,2919.42,5138.16,13371.56,933.27,123659.73,29090.67,5913.64,2015.01,77279.75,3192.54,794.55,246387.63,2183.27,4750.39,5304.83,61390.84,146.44,85392.08,197.04,22023.11,3784.77,209431.97,4936.77,7577.23,3609.37,3983.53,198358.43,557.44,11119.09,51593.46,803.93,449.98,276.7,277.66,126.87,582.01,308.08,145847.16,3396.04,10193.3,27300.53,7289.06,27479.59,729.45,17848.53,23935.74,3177.88,1296.81,4158.48,111632.71,58770.47,8215.28,72487.6,936.95,121621.0,7461.71,181704.2,10771.39,107.43,959.15,4486.57,4724.83,361.32,10276.12,1289.71,6844.04,20170.13,1805.37,76830.45,90065.91,125349.64,43.41,558.26,18600.21,536.64,3069.15,735.21,104813.07,18449.62,16502.57,16468.95,16468.95,24303.98,6678.43,260771.12,31902.61,27300.43,57016.1,31871.91,1726.47,203872.34,21947.97,159.31,31499.86,4725.49,78342.97,269478.43,1559340.31,191940.75,39500.93,39424.27,22449.82,3621.16,3077.51,18096.35,326413.22,3329.85,9121.88,1546.72,8130.82,3357.39,8304.8,12583.22,38865.48,4568.29,79076.14
CD14,5143.98,302.36,7982.02,33355.36,465.14,25440.47,2794.06,5422.55,230.33,5066.81,1846.94,1327.87,8173.58,8452.58,24829.12,22836.59,833.12,379.84,524.21,24022.48,838.68,9765.39,434321.79,2275.58,30116.97,24968.5,11070.75,198.86,514534.2,262.18,109815.03,485108.13,276806.91,2803.4,6448.37,17214.47,924.92,164532.39,26867.26,6255.12,3635.31,87292.09,5350.35,722.48,219069.83,2148.77,3960.5,5138.84,54835.12,2072.08,94910.38,121.99,29714.45,17702.95,187497.84,5262.11,7658.76,5659.3,7355.5,148420.94,310.06,6123.81,88498.45,2569.48,726.53,326.39,1996.22,5393.57,575.93,271.53,182453.68,5163.24,6135.65,32993.32,6792.12,33147.81,602.23,21706.65,20639.02,3057.67,876.13,8640.5,107593.58,57489.08,7580.25,77024.99,1096.95,183094.85,7498.87,128515.9,12354.33,104.96,900.51,5031.12,4089.03,185.93,12538.54,1113.34,2611.09,19276.3,6342.63,47611.34,97827.19,88620.5,57.68,544.45,13767.85,1600.76,5447.15,598.45,38379.11,22225.37,11105.79,11076.79,11076.79,24115.99,7113.8,191506.52,42811.44,32993.23,58862.5,36941.32,2871.68,152165.75,24658.62,160.67,40711.24,2415.28,84950.47,231461.34,1406494.08,184661.97,48164.58,40802.77,23923.55,12556.44,2688.03,17955.16,312680.52,3070.17,7785.94,1833.21,9331.11,2900.54,8605.85,10901.83,40319.9,4562.66,59963.74
FTL,6628.76,422.03,9226.98,24716.1,607.38,37431.57,3255.98,5911.09,497.74,5460.14,2567.56,2038.63,8626.96,9429.77,27065.09,34440.06,1141.64,464.75,846.97,34705.76,1144.7,9179.79,462432.59,3290.72,36908.36,28417.47,12751.14,334.92,597282.94,339.11,102088.72,469866.05,288725.99,3956.87,6720.92,25144.21,1159.71,192037.66,31302.48,7030.46,3842.43,86922.59,6666.15,957.05,216779.66,3746.17,4954.67,5764.41,48852.82,2689.56,81332.93,166.35,40419.72,19646.61,220388.39,5431.93,7942.05,5686.71,7881.04,130207.75,469.87,7113.74,126643.12,3559.16,1317.93,512.56,2311.94,5896.25,734.88,351.14,186334.19,5910.26,6488.67,37125.03,6840.15,37312.84,745.89,28965.54,24764.17,3184.96,1158.03,10600.22,99389.99,60938.31,7886.86,96515.94,1544.92,229303.22,7330.98,109171.33,13226.54,162.42,888.8,7099.4,5226.07,314.54,17538.22,1392.87,2422.88,20347.02,6887.26,50840.12,128023.95,79254.3,116.1,686.17,13396.67,2072.97,5795.08,763.2,41088.6,29595.85,14889.74,14854.46,14854.46,32960.26,9162.74,177669.06,53277.38,37124.92,68157.32,41921.01,4325.95,127614.99,28431.63,342.73,51578.04,2900.89,118744.95,213566.63,1620476.64,177521.79,56458.93,40226.97,23688.54,12947.44,3343.44,15801.85,321987.92,4103.86,9476.32,2227.82,8683.97,3528.17,10094.81,11484.72,39640.79,4670.63,54331.37
EIF1,7353.28,337.42,8172.38,42161.3,559.1,40702.3,3044.29,6098.26,417.48,5593.42,1902.82,1931.71,11549.9,4547.74,27878.59,36036.45,945.88,459.72,527.8,41411.35,966.81,13443.8,565105.34,3567.09,26912.53,41738.83,14257.56,334.13,593502.53,313.7,141122.0,626876.69,381147.72,3570.89,7079.86,30159.77,1183.57,221669.13,44130.67,7768.96,3460.54,102122.66,6975.81,907.72,305530.3,3737.72,4876.06,5823.72,58356.78,697.81,106637.78,167.12,44038.65,14253.65,283057.0,5451.81,8693.55,5907.32,6831.08,218393.9,467.55,9357.15,132020.82,4137.69,1243.49,364.03,1398.89,2382.81,698.81,324.66,210613.23,6113.78,9310.01,45229.56,6965.71,45415.24,740.98,37210.36,24485.88,3989.46,1225.06,8043.03,138452.88,81800.83,10860.95,100237.31,1225.58,229670.24,8796.27,196726.55,11168.53,178.93,913.94,6203.05,5226.52,347.86,19280.67,1362.49,4480.18,26278.87,5472.31,67442.86,120586.37,126964.93,73.69,655.6,18191.57,968.59,6054.09,747.08,68244.92,37833.46,17697.95,17663.06,17663.06,43192.64,9501.62,283140.19,61593.9,45229.45,75933.38,49972.19,3788.83,223594.91,35843.42,207.06,58997.7,3466.31,135077.26,313726.07,1604524.72,228175.25,66565.87,52813.88,34247.17,9668.89,3337.95,21462.39,429989.31,3880.94,12856.88,1730.65,11466.12,3477.68,11273.58,15038.42,52234.55,5314.96,70577.24
LGALS3,3747.5,322.68,7059.32,28215.82,500.66,15880.36,1088.37,2893.61,153.4,2516.65,4072.17,988.32,1315.53,2165.53,11572.84,12425.37,872.45,420.86,128.25,13535.15,856.28,6184.13,369738.5,1863.79,41831.52,20151.54,4447.66,189.62,558968.77,267.69,46310.16,375451.44,209317.27,1987.7,4967.11,11500.22,626.81,118811.45,10656.75,887.89,2074.92,71434.03,976.33,757.88,156092.21,1769.76,4206.25,2492.27,44284.17,139.21,53595.82,110.42,17296.33,11177.82,166753.0,3445.76,4714.11,4231.28,4764.78,94237.43,313.9,5034.3,60206.0,490.94,472.2,282.03,1171.59,273.8,484.22,293.04,113511.78,1819.17,2686.07,6257.33,6644.85,6430.02,657.85,10677.38,22810.45,1242.91,895.15,6381.64,43825.52,26372.6,1449.35,62159.97,615.08,165818.19,2822.5,86717.33,7108.48,67.64,449.51,3954.32,4343.39,124.96,9170.69,1202.64,681.99,7755.69,1688.15,78656.81,116624.89,59440.09,42.16,612.57,10763.58,958.11,2135.86,665.79,33195.12,11257.1,11954.4,11921.99,11921.99,11709.32,4814.11,137902.77,22209.42,6257.23,35065.48,10669.98,4055.02,88463.93,12172.69,116.86,15101.77,1031.26,66197.93,144768.18,1528647.37,131615.81,28483.3,19363.67,27542.57,3703.09,2629.56,5564.88,213960.76,3175.55,3705.59,1336.34,438.54,3214.28,4872.86,3330.79,18823.71,1709.21,58900.38
UBC,10031.01,518.66,8083.96,43239.01,567.89,45180.0,3901.77,6480.85,687.56,5813.53,3150.43,2855.58,13957.83,6506.78,32628.51,40808.49,1128.62,453.82,735.84,44035.29,1049.69,13208.23,557240.78,3723.83,39803.68,41224.54,15039.16,510.19,578163.65,337.51,134739.04,609075.61,376181.56,4523.51,7715.44,32083.17,1545.74,240607.58,48189.18,10353.33,4105.74,101869.93,6804.72,927.33,298135.09,4848.52,5427.21,7071.12,64928.6,715.55,102797.18,263.18,48606.87,18198.6,295263.61,5370.29,11962.26,5803.43,9834.66,202862.99,638.9,9583.74,156858.47,4211.99,2018.4,419.86,2336.46,3164.07,816.04,363.4,216399.43,6405.51,11393.82,45386.75,7095.37,45565.9,760.14,38938.11,23927.44,4157.12,1351.5,11462.57,132162.22,82338.77,11601.56,102647.55,1433.83,260030.14,9411.7,179219.89,18073.28,229.97,1625.59,6826.46,5989.94,557.0,20180.29,1384.32,7832.33,26912.16,7828.2,73364.73,144003.32,120060.53,114.08,725.64,18829.63,2036.57,5706.01,735.54,86408.08,39539.51,23742.07,23708.39,23708.39,44217.0,10766.16,268334.73,65850.23,45386.64,75005.17,49963.63,5448.76,202641.42,38055.43,306.66,64070.85,5876.04,153198.91,298594.22,1565267.07,227128.79,70610.58,51972.98,31849.98,12761.5,3555.92,21409.14,427318.9,3991.78,14447.93,2251.64,12334.63,3403.94,13268.94,16073.11,51413.77,5795.23,75234.18
RPL27A,3929.14,215.7,7019.97,33330.18,501.59,28012.93,1576.37,4910.94,298.29,4495.31,979.94,1309.37,10234.08,2206.92,18403.53,22891.04,759.65,424.37,269.05,29358.06,845.89,9569.7,493388.05,2686.97,17548.89,27072.41,11964.02,226.97,559815.09,274.26,137456.65,555273.54,313317.9,2029.72,6398.19,21971.7,811.06,186451.82,32180.71,4760.3,2758.05,85288.75,4367.98,779.85,250351.23,2370.24,4446.23,4480.05,45974.72,163.34,100356.84,130.77,31831.95,4040.31,245209.42,4986.53,6347.99,5472.33,5392.54,178584.41,350.88,6713.68,94655.9,1768.75,666.05,274.52,645.54,255.55,541.43,288.38,184021.59,3897.28,6672.83,37388.06,6728.31,37560.35,661.2,29471.24,22783.82,3718.73,909.68,5103.83,134981.86,59956.8,10672.7,83308.28,794.6,181146.3,8772.94,160131.98,5679.67,134.15,1112.48,4744.21,4436.52,225.82,13509.79,1257.0,2733.33,24202.87,2760.67,58055.77,102204.33,97302.6,55.13,597.33,12590.08,429.84,4553.11,664.12,46252.83,30049.53,10669.96,10637.61,10637.61,30888.99,6491.02,243980.44,44878.52,37387.96,66048.73,41785.64,2237.22,187584.11,25712.3,167.13,43448.94,2373.34,100747.05,268568.29,1518423.05,214397.93,55247.01,49587.56,29555.84,3068.01,2924.12,21862.81,366257.59,3311.63,8778.05,1553.13,11266.49,3200.17,9543.88,14848.73,49049.45,2870.59,62760.88
RPL7A,8082.71,437.72,9378.12,45088.37,577.14,47957.81,3965.98,6370.27,481.13,5879.26,2642.71,2069.54,11262.33,10469.5,33671.76,42854.02,1079.04,466.99,905.02,43966.54,1063.62,12570.39,598701.74,3611.09,37277.53,42741.63,15894.37,315.04,599957.54,331.75,147710.38,651158.28,411797.34,4080.4,7206.49,31911.63,1221.93,246967.53,47409.95,7979.86,4193.03,111255.1,8138.87,953.06,332211.59,4541.08,4972.25,6065.34,70194.08,2564.87,116127.17,168.34,50407.08,20668.63,314274.61,5646.37,10972.63,6061.54,9328.89,230455.18,449.99,9182.55,152233.88,4412.31,1687.11,437.03,2321.07,7330.04,756.95,337.26,234361.41,6366.17,9155.63,50645.85,7053.1,50833.74,752.83,39292.04,24799.94,3996.78,1193.64,12965.77,145009.65,88335.1,10093.25,107389.54,1588.42,266186.56,8828.76,207964.23,16162.85,201.28,1029.61,7658.37,5709.92,367.14,22639.1,1400.7,4395.5,28377.8,9048.9,70470.31,137802.11,130006.66,95.51,694.56,18166.41,2018.56,6410.83,749.0,74597.25,39922.13,19968.65,19933.38,19933.38,44719.04,10671.87,295001.06,68603.8,50645.74,81755.76,55444.55,4641.8,233536.71,39695.87,267.69,68232.94,3643.43,148255.08,335403.5,1628003.69,237271.45,74409.73,56955.58,37388.3,13923.47,3515.46,22864.96,463276.34,4198.14,14207.96,2195.53,12020.26,3536.18,12745.02,15179.52,56369.42,6017.66,76951.93
